City	State	lat	lon	Amount
MINNEAPOLIS	MN	44.96	-93.26	7000.0
MONTOUR FALLS	NY	42.34	-76.84	1100.0
MONTPELIER	VT	44.26	-72.57	500.0
MOORESVILLE	NC	35.5848596	-80.8100724	7000.0
MOORHEAD	MN	46.86	-96.75	15000.0
MORRISTOWN	NJ	40.79	-74.47	1000.0
MORRISTOWN	NJ	40.79676670000001	-74.4815438	1000.0
MORRISVILLE	NY	42.89	-75.64	100.0
MOSCOW	ID	46.71	-116.91	2700.0
MOUNT VERNON	OH	40.39	-82.47	2700.0
MOUNTAIN BRK	AL	33.52	-86.79	5200.0
NAPA	CA	38.55	-122.15	500.0
NAPLES	FL	26.14	-81.79	2000.0
NAPLES	NY	42.61	-77.4	2744.8
NASHVILLE	TN	36.17	-86.78	1000.0
NATICK	MA	42.28	-71.35	249.0
NEVERSINK	NY	41.84	-74.61	1000.0
NEW BRUNSWICK	NJ	40.48	-74.44	1000.0
NEW BRUNSWICK	NJ	40.4862157	-74.4518188	1000.0
NEW CANAAN	CT	41.14	-73.49	1000.0
NEW CANAAN	CT	41.146763	-73.4948445	2000.0
NEW CASTLE	DE	39.66	-75.57	250.0
NEW CITY	NY	41.15	-73.99	500.0
NEW GLOUCESTER	ME	43.96	-70.28	2500.0
NEW GLOUCESTER	ME	43.962853	-70.2825536	4000.0
NEW HARTFORD	NY	43.07	-75.28	250.0
NEW HYDE PARK	NY	40.73	-73.68	1000.0
NEW ORLEANS	LA	30.06	-89.93	1000.0
NEW PROVIDENCE	NJ	40.6984348	-74.4015405	2500.0
NEW ROCHELLE	NY	40.94	-73.78	3300.0
NEW WINDSOR	NY	41.47	-74.02	500.0
NEW YORK	NY	40.71	-73.99	130620.0
NEW YORK	NY	40.76	-73.96	7100.0
NEW YORK	NY	40.77	-73.95	36500.0
NEWFIELD	NY	42.36	-76.59	975.0
NEWPORT BEACH	CA	33.62	-117.87	13000.0
NEWTON	MA	42.33	-71.2	1000.0
NEWTON	MA	42.3370413	-71.20922139999999	1000.0
NEWTON	NJ	41.0581527	-74.7526651	2000.0
NEWTOWN SQUARE	PA	39.97	-75.43	1000.0
NIAGARA FALLS	NY	43.09	-79.01	500.0
NICHOLS HILLS	OK	35.46	-97.51	500.0
NORTH TONAWANDA	NY	43.04	-78.86	250.0
NORTHAMPTON	MA	42.3250896	-72.64120129999999	250.0
NORTHBROOK	IL	42.1275267	-87.82895479999999	1250.0
OAK BROOK	IL	41.8397865	-87.95355339999999	1000.0
OAKTON	VA	38.8809451	-77.3008172	1400.0
ODESSA	NY	42.33	-76.78	2055.0
ODESSA	TX	31.85	-102.36	1000.0
OKLAHOMA CITY	OK	35.46	-97.51	11000.0
OLD GREENWICH	CT	41.0232624	-73.5652049	1000.0
OLD TAPPAN	NJ	40.98	-74.03	2600.0
OLD TAPPAN	NJ	41.010653	-73.99124929999999	1000.0
OLEAN	NY	42.08	-78.43	12685.0
OMAHA	NE	41.26	-96.01	6000.0
ONEIDA	NY	43.08	-75.65	2700.0
ONTARIO	NY	43.22	-77.31	1000.0
ORCHARD PARK	NY	42.76	-78.74	6200.0
ORLANDO	FL	28.5	-81.37	2500.0
ORMOND BEACH	FL	29.28	-81.06	5400.0
OSSINING	NY	41.15	-73.87	5000.0
OVERLAND PARK	KS	38.9	-94.68	1500.0
OVID	NY	42.67	-76.82	300.0
OWEGO	NY	42.1	-76.26	2410.0
OYSTER BAY	NY	40.86	-73.53	1000.0
PADUCAH	KY	37.07	-88.63	250.0
PAINTED POST	NY	42.16	-77.09	13055.0
PALO ALTO	CA	37.44	-122.15	5400.0
PATTERSON	NY	41.5	-73.58	1000.0
PENFIELD	NY	43.15	-77.44	9925.0
PENN YAN	NY	42.66	-77.05	3990.0
PEORIA	IL	40.6936488	-89.5889864	10000.0
PERRYSBURG	NY	42.45	-79.0	50.0
PERRYSBURG	OH	41.55	-83.62	1000.0
PHELPS	NY	42.95	-77.06	2855.0
PHOENIX	AZ	33.45	-112.01	2000.0
PINE CITY	NY	42.03	-76.86	1000.0
PITTSBURG	KS	37.41	-94.69	1000.0
PITTSBURGH	PA	40.43	-79.97	2250.0
PITTSFIELD	NH	43.3	-71.33	1000.0
PITTSFORD	NY	43.09	-77.51	51375.0
PLATTSBURGH	NY	44.69	-73.45	500.0
POMPANO BEACH	FL	26.23	-80.13	1000.0
PONTE VEDRA BEACH	FL	30.23	-81.38	250.0
PORTVILLE	NY	42.03	-78.33	500.0
POTOMAC	MD	39.0181651	-77.2085914	5500.0
PRINCETON	NJ	40.3572976	-74.6672226	1500.0
PRIOR LAKE	MN	44.72	-93.43	5400.0
PROVIDENCE	RI	41.82	-71.41	250.0
PURCHASE	NY	41.03	-73.71	5275.0
QUINCY	MA	42.26	-71.0	1000.0
RANDOLPH	NY	42.16	-78.97	350.0
RESTON	VA	38.9586307	-77.35700279999999	6500.0
RICHFIELD	MN	44.96	-93.26	2500.0
RICHMOND	VA	37.5407246	-77.4360481	7500.0
RICHMOND HEIGHTS	MO	38.6286631	-90.31955959999999	1500.0
RIPLEY	NY	42.26	-79.71	100.0
ROCHESTER	NY	43.16	-77.61	195067.38999999998
ROCK STREAM	NY	42.47	-76.92	100.0
ROCKAWAY PT	NY	40.56	-73.91	1000.0
ROCKFORD	IL	42.2711311	-89.0939952	2000.0
ROCKVILLE	MD	39.0839973	-77.1527578	1000.0
ROCKVILLE CENTRE	NY	40.66	-73.63	3200.0
ROGERS	AR	36.33	-94.13	1000.0
ROLLA	MO	37.94	-91.76	3500.0
ROMULUS	NY	42.75	-76.83	935.0
ROSELAND	NJ	40.82	-74.3	750.0
ROSWELL	GA	34.0232431	-84.3615555	2000.0
RUSHFORD	NY	42.4	-78.23	250.0
RUSHVILLE	NY	42.76	-77.22	6830.0
RYE BROOK	NY	41.0	-73.66	8100.0
SAINT LOUIS	MO	38.6270025	-90.19940419999999	11000.0
SAINT PAUL	MN	44.94	-93.1	1000.0
SAINT PETERSBURG	FL	27.75	-82.64	1000.0
SALAMANCA	NY	42.16	-78.72	17475.0
SALT LAKE CITY	UT	40.7	-111.71	500.0
SAN ANTONIO	TX	29.45	-98.5	1000.0
SAN DIEGO	CA	32.71	-117.16	3000.0
SAN DIEGO	CA	32.85	-117.2	1000.0
SAN DIEGO	CA	32.99	-117.07	4500.0
SAN DIEGO	CA	33.02	-117.12	1000.0
SAN FRANCISCO	CA	37.7749295	-122.4194155	5000.0
SAN FRANCISCO	CA	37.78	-122.39	5000.0
SAN FRANCISCO	CA	37.79	-122.4	6000.0
SAN FRANCISCO	CA	37.79	-122.39	9400.0
SAN RAFAEL	CA	37.97	-122.5	3000.0
SANIBEL	FL	26.44	-82.1	1000.0
SARASOTA	FL	27.33	-82.54	1000.0
SARDINIA	NY	42.53	-78.5	1000.0
SAVANNAH	GA	32.08	-81.1	2000.0
SAVONA	NY	42.28	-77.22	500.0
SAYRE	PA	41.97	-76.51	1000.0
SCARSDALE	NY	40.98	-73.77	15865.0
SCHAUMBURG	IL	42.0333607	-88.0834059	750.0
SCHENECTADY	NY	42.8	-73.92	14000.0
